time,x_filter,u_filter,y_filter,vm_filter,psi_filter,r_filter,rudder_left_RC,rudder_right_RC,rps_readback,bow_readback,winddir,windspeed,n_bt_rps_cmd,ref_x,ref_u,ref_y,ref_vm,ref_psi,ref_r,x_raw,u_dop_raw,y_raw,vm_dop_raw,psi_raw_rad,r_raw_rad,kf_linear_x,kf_linear_u,kf_linear_y,kf_linear_v,kf_linear_psi,kf_linear_r,automode,bowstate,dist_m_lidar,dist_m_lidar_ma,velo_ms_lidar_ma
25.5,0,0,0,0,0,0,11.85039139,13.99999237,9.820760962,0,169,1.629999995,27,0,0,0,0,0,0,0,0,0,0,-2.96081543,-0.738525391,0,0,0,0,0,0,1,0,0.657999992,0.640250742,-0.019721389
25.6,0,0,0,0,0,0,11.85039139,14.63634491,9.820760962,0,152,1.75999999,27,0,0,0,0,0,0,0,0,0,0,-3.032226563,-0.695800781,0,0,0,0,0,0,1,0,0.662999988,0.642525673,-0.022749305
25.7,0,0,0,0,0,0,11.85039139,14.63634491,9.820760962,0,152,1.75999999,27,0,0,0,0,0,0,0,0,0,0,-3.098144531,-0.622558594,0,0,0,0,0,0,1,0,0.665000021,0.644773126,-0.022474527
25.8,0,0,0,0,0,0,12.40157509,13.99999237,9.820760962,0,152,1.75999999,27,0,0,0,0,0,0,0,0,0,0,-3.158569336,-0.5859375,0,0,0,0,0,0,1,0,0.657999992,0.646095812,-0.013226867
25.9,0,0,0,0,0,0,12.40157509,13.99999237,9.820760962,0,167,1.75,27,0,0,0,0,0,0,0,0,0,0,-3.213500977,-0.537109375,0,0,0,0,0,0,1,0,0.660000026,0.64748621,-0.013903975
26,0,0,0,0,0,0,12.40157509,14.63634491,9.820760962,0,167,1.75,27,0,0,0,0,0,0,0,0,0,0,-3.268432617,-0.531005859,0,0,0,0,0,0,1,0,0.657999992,0.648537576,-0.010513663
26.1,0,0,0,0,0,0,11.85039139,14.63634491,9.820760962,0,164,1.429999948,27,0,0,0,0,0,0,0,0,0,0,-3.323364258,-0.573730469,0,0,0,0,0,0,1,0,0.660000026,0.649683833,-0.011462569
26.2,0,0,0,0,0,0,11.85039139,14.63634491,9.820760962,0,164,1.429999948,27,0,0,0,0,0,0,0,0,0,0,-3.378295898,-0.5859375,0,0,0,0,0,0,1,0,0.660000026,0.65071547,-0.010316372
26.3,0,0,0,0,0,0,12.40157509,14.63634491,9.820760962,0,164,1.429999948,27,0,0,0,0,0,0,0,0,0,0,-3.438720703,-0.610351563,0,0,0,0,0,0,1,0,0.661000013,0.651743889,-0.010284185
26.4,0,0,0,0,0,0,12.40157509,13.99999237,9.820760962,0,178,2.210000038,27,0,0,0,0,0,0,0,0,0,0,-3.499145508,-0.616455078,0,0,0,0,0,0,1,0,0.663999975,0.65296948,-0.012255907
26.5,0,0,0,0,0,0,12.40157509,13.99999237,9.820760962,0,178,2.210000038,27,0,0,0,0,0,0,0,0,0,0,-3.559570313,-0.592041016,0,0,0,0,0,0,1,0,0.667999983,0.65447253,-0.015030503
26.6,0,0,0,0,0,0,11.85039139,15.90907669,9.820760962,0,164,1.159999967,27,0,0,0,0,0,0,0,0,0,0,-3.614501953,-0.561523438,0,0,0,0,0,0,1,0,0.675000012,0.656525254,-0.020527244
26.7,0,0,0,0,0,0,11.85039139,15.90907669,9.820760962,0,164,1.159999967,27,0,0,0,0,0,0,0,0,0,0,-3.669433594,-0.482177734,0,0,0,0,0,0,1,0,0.674000025,0.658272743,-0.01747489
26.8,0,0,0,0,0,0,11.85039139,14.63634491,9.820760962,0,164,1.159999967,27,0,0,0,0,0,0,0,0,0,0,-3.713378906,-0.415039063,0,0,0,0,0,0,1,0,0.681999981,0.660645485,-0.023727417
26.9,0,0,0,0,0,0,12.40157509,14.63634491,9.820760962,0,156,0.850000024,27,0,0,0,0,0,0,0,0,0,0,-3.746337891,-0.329589844,0,0,0,0,0,0,1,0,0.680999994,0.662680924,-0.02035439
27,0,0,0,0,0,0,12.40157509,14.63634491,9.820760962,0,156,0.850000024,27,0,0,0,0,0,0,0,0,0,0,-3.773803711,-0.213623047,0,0,0,0,0,0,1,0,0.677999973,0.664212823,-0.01531899
27.1,0,0,0,0,0,0,11.85039139,14.63634491,9.820760962,0,157,1.450000048,27,0,0,0,0,0,0,0,0,0,0,-3.784790039,-0.103759766,0,0,0,0,0,0,1,0,0.675999999,0.665391564,-0.011787415
27.2,0,0,0,0,0,0,12.40157509,14.63634491,9.820760962,0,157,1.450000048,27,0,0,0,0,0,0,0,0,0,0,-3.784790039,0,0,0,0,0,0,0,1,0,0.671999991,0.666052401,-0.006608367
27.3,0,0,0,0,0,0,12.40157509,14.63634491,9.820760962,0,157,1.450000048,-6.141448021,0,0,0,0,0,0,0,0,0,0,-3.779296875,0.128173828,0,0,0,0,0,0,1,0,0.674000025,0.66684711,-0.007947087
27.4,0,0,0,0,0,0,11.85039139,13.99999237,9.820760962,0,150,1.909999967,-18.05620766,0,0,0,0,0,0,0,0,0,0,-3.762817383,0.164794922,0,0,0,0,0,0,1,0,0.676999986,0.667862415,-0.010153055
27.5,0,0,0,0,0,0,12.40157509,14.63634491,9.820760962,0,150,1.909999967,-19.31750107,0,0,0,0,0,0,0,0,0,0,-3.740844727,0.244140625,0,0,0,0,0,0,1,0,0.680000007,0.669076145,-0.012137294
