time,x_filter,u_filter,y_filter,vm_filter,psi_filter,r_filter,rudder_left_cmd,rudder_right_cmd,rps_readback,bow_readback,winddir,windspeed,GNSS_quality_fore,GNSS_quality_mdi,GNSS_quality_aft,n_bt_rps_cmd,x_raw,u_dop_raw,y_raw,vm_dop_raw,psi_raw_rad,r_raw_rad,kf_linear_x,kf_linear_u,kf_linear_y,kf_linear_v,kf_linear_psi,kf_linear_r,automode,bowstate,dist_m_lidar,dist_m_lidar_ma,velo_ms_lidar_ma
4.1000000000000005,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.7400000095367432,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.8271484375,1.2939453125,0,0,0,0,0,0,0,1,0.0,0.011972514912486076,0.013302788138389587
4.2,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.7400000095367432,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,32.8271484375,1.2939453125,0,0,0,0,0,0,0,1,0.0,0.010775263421237469,0.011972514912486076
4.3,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,0.0,-368,11,0.800000011920929,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,33.1292724609375,1.6845703125,0,0,0,0,0,0,0,1,0.0,0.00969773717224598,0.010775262489914894
4.4,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,11,0.8100000023841858,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,33.299560546875,1.776123046875,0,0,0,0,0,0,0,1,0.0,0.008727963082492352,0.009697740897536278
4.5,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,11,0.8100000023841858,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,33.4918212890625,1.947021484375,0,0,0,0,0,0,0,1,0.0,0.007855166681110859,0.008727964013814926
4.6000000000000005,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,11,0.8100000023841858,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,33.7005615234375,2.093505859375,0,0,0,0,0,0,0,0,0.0,0.0070696501061320305,0.007855165749788284
4.7,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.8100000023841858,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,34.1400146484375,2.325439453125,0,0,0,0,0,0,0,0,0.0,0.00636268500238657,0.007069651037454605
4.800000000000001,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.8100000023841858,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,34.38720703125,2.5146484375,0,0,0,0,0,0,0,1,0.0,0.0057264165952801704,0.006362684071063995
4.9,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.7099999785423279,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,34.6453857421875,2.667236328125,0,0,0,0,0,0,0,1,0.0,0.0051537747494876385,0.00572641845792532
5.0,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.7099999785423279,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,34.9200439453125,2.813720703125,0,0,0,0,0,0,0,1,0.0,0.0046383971348404884,0.0051537761464715
5.1000000000000005,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,12,0.7099999785423279,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,35.211181640625,2.96630859375,0,0,0,0,0,0,0,1,0.0,0.004174557514488697,0.004638396203517914
5.2,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,349,0.6299999952316284,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,35.83740234375,3.277587890625,0,0,0,0,0,0,0,0,0.328000009059906,0.03655710071325302,-0.3238254487514496
