,x_position,u_velo,y_position,psi_hat,vm_velo,beta,r_angvelo,n_prop,delta_rudder_p,delta_rudder_s,physical_time,delta_rudder_p_deg,delta_rudder_s_deg,X,Y,N,T,FNp,FT1,FNs,FT2,velocity
70,0,0.437,0,0,0,0,0,8.15,-0.349066,-0.349066,0,-20,-20,-0.03531,0.17277,-0.25434,0.14098,-0.08137,-0.00526,-0.05857,0.00295,0.45464
71,0,0.437,0,0,0,0,0,8.15,-0.349066,-0.174533,0,-20,-10,-0.04298,0.14376,-0.19701,0.13982,-0.08755,-0.00723,-0.0181,0.00783,0.45742
72,0,0.437,0,0,0,0,0,8.15,-0.349066,0,0,-20,0,-0.03006,0.0972,-0.13246,0.13982,-0.09285,-0.00888,0.02066,0.0075,0.45886
73,0,0.437,0,0,0,0,0,8.15,-0.349066,0.349066,0,-20,20,-0.07011,0.02201,-0.00548,0.13057,-0.10345,-0.00969,0.09946,-0.00804,0.4552
74,0,0.437,0,0,0,0,0,8.15,-0.349066,0.698132,0,-20,40,-0.11984,-0.00662,0.02242,0.14096,-0.10983,-0.00727,0.14662,-0.00261,0.45459
75,0,0.437,0,0,0,0,0,8.15,-0.349066,1.047198,0,-20,60,-0.14973,-0.01827,0.01847,0.1562,-0.08086,0.004,0.15406,-0.00366,0.45195
76,0,0.437,0,0,0,0,0,8.15,-0.349066,1.396263,0,-20,80,-0.15131,-0.02532,-0.0003,0.16626,-0.04899,0.01108,0.1652,-0.00849,0.45084
77,0,0.437,0,0,0,0,0,8.15,-0.349066,1.745329,0,-20,100,-0.16308,0.06728,-0.07181,0.17065,-0.03906,0.01143,0.17268,-0.01353,0.46189
78,0,0.437,0,0,0,0,0,8.15,-0.174533,-0.174533,0,-10,-10,-0.01361,0.08766,-0.12777,0.14542,-0.04866,-0.00018,-0.02115,0.00769,0.45421
79,0,0.437,0,0,0,0,0,8.15,-0.174533,0,0,-10,0,-0.01437,0.06048,-0.0737,0.14395,-0.0543,-0.00107,0.01629,0.00754,0.45783
80,0,0.437,0,0,0,0,0,8.15,0,0,0,0,0,-0.00327,0.00403,-0.01237,0.14115,-0.01711,0.00355,0.013,0.00774,0.4553
81,0,0.437,0,0,0,0,0,8.15,0,0.174533,0,0,10,-0.00936,-0.03741,0.03735,0.14357,-0.02155,0.00328,0.05049,0.00352,0.45373
82,0,0.437,0,0,0,0,0,8.15,0,0.349066,0,0,20,-0.02049,-0.07875,0.09489,0.14551,-0.02566,0.003,0.08854,-0.00536,0.45172
83,0,0.437,0,0,0,0,0,8.15,0,0.523599,0,0,30,-0.05362,-0.11745,0.15567,0.14127,-0.03009,0.00307,0.12518,-0.00863,0.45468
84,0,0.437,0,0,0,0,0,8.15,0,0.698132,0,0,40,-0.08873,-0.12777,0.17586,0.15376,-0.03281,0.00382,0.15261,-0.00608,0.45397
85,0,0.437,0,0,0,0,0,8.15,0,0.872665,0,0,50,-0.08856,-0.11028,0.15054,0.16232,-0.02238,0.00616,0.15433,-0.00239,0.45225
86,0,0.437,0,0,0,0,0,8.15,0,1.047198,0,0,60,-0.12376,-0.10323,0.15972,0.15554,-0.00999,0.0083,0.1627,-0.00437,0.45686
87,0,0.437,0,0,0,0,0,8.15,0,1.22173,0,0,70,-0.12538,-0.11846,0.14762,0.15255,0.00933,0.00907,0.16366,-0.00597,0.4521
88,0,0.437,0,0,0,0,0,8.15,0,1.396263,0,0,80,-0.12984,-0.10963,0.13522,0.16079,0.02406,0.00946,0.16692,-0.00849,0.453
89,0,0.437,0,0,0,0,0,8.15,0,1.570796,0,0,90,-0.13233,-0.09278,0.11038,0.16181,0.03453,0.00947,0.16817,-0.01141,0.45042
90,0,0.437,0,0,0,0,0,8.15,0,1.745329,0,0,100,-0.12698,-0.05801,0.07689,0.16221,0.04211,0.00969,0.16912,-0.01348,0.45597
91,0,0.437,0,0,0,0,0,8.15,0.174533,0.174533,0,10,10,-0.01504,-0.08122,0.10101,0.14736,0.01493,0.00346,0.04652,0.00405,0.45366
92,0,0.437,0,0,0,0,0,8.15,0.174533,0.349066,0,10,20,-0.01967,-0.12196,0.16346,0.14104,0.0089,0.00399,0.08617,-0.00451,0.45691
93,0,0.437,0,0,0,0,0,8.15,0.174533,0.523599,0,10,30,-0.04796,-0.1643,0.2081,0.14543,0.00647,0.00373,0.12152,-0.00937,0.45338
94,0,0.437,0,0,0,0,0,8.15,0.174533,0.698132,0,10,40,-0.08357,-0.17884,0.24177,0.15402,0.00549,0.00393,0.15394,-0.00808,0.45265
95,0,0.437,0,0,0,0,0,8.15,0.174533,0.872665,0,10,50,-0.09725,-0.17534,0.24312,0.16303,0.01659,0.00424,0.16025,-0.00321,0.45965
96,0,0.437,0,0,0,0,0,8.15,0.174533,1.047198,0,10,60,-0.12163,-0.16299,0.22364,0.15559,0.03303,0.00375,0.15964,-0.00404,0.45379
97,0,0.437,0,0,0,0,0,8.15,0.174533,1.22173,0,10,70,-0.12207,-0.16984,0.22088,0.15663,0.0505,0.00349,0.16403,-0.00604,0.45121
98,0,0.437,0,0,0,0,0,8.15,0.174533,1.396263,0,10,80,-0.14636,-0.17314,0.20989,0.15528,0.06566,0.00279,0.1685,-0.00897,0.45716
99,0,0.437,0,0,0,0,0,8.15,0.174533,1.570796,0,10,90,-0.13828,-0.14985,0.1924,0.16401,0.07868,0.00214,0.16915,-0.01181,0.4609
100,0,0.437,0,0,0,0,0,8.15,0.174533,1.745329,0,10,100,-0.13152,-0.11697,0.15283,0.16731,0.08636,0.00159,0.16634,-0.01378,0.44965
101,0,0.437,0,0,0,0,0,8.15,0.349066,0.349066,0,20,20,-0.0409,-0.16795,0.23068,0.1415,0.05161,-0.00078,0.08196,-0.0036,0.45509
102,0,0.437,0,0,0,0,0,8.15,0.349066,0.523599,0,20,30,-0.05894,-0.2035,0.29503,0.14553,0.0461,-0.00038,0.12226,-0.01389,0.45983
103,0,0.437,0,0,0,0,0,8.15,0.349066,0.698132,0,20,40,-0.08765,-0.23656,0.32602,0.15198,0.04797,-0.00097,0.15351,-0.01302,0.45884
104,0,0.437,0,0,0,0,0,8.15,0.349066,0.872665,0,20,50,-0.12632,-0.23005,0.32561,0.16065,0.05999,-0.00218,0.16149,-0.0045,0.45568
